(2018-06-22T13:29:20):	INPM,3QF 803 209/210,
(2018-06-22T13:35:29):	INPM,3QF 803 209/210,LASER1A
(2018-06-22T13:45:51):	INPM,3QF 803 209/210,LASER1
(2018-06-22T13:46:35):	INPM,3QF 803 209/210,LASER1
(2018-06-22T13:56:43):	INPM,3QF 803 209/210,LASER1
(2018-06-22T13:57:17):	OUTM,3QF 803 299,LASER1
(2018-06-22T13:57:17):	INPM,3QF 803 299,LASER1
(2018-06-22T14:05:03):	INPM,3QF 803 209/210,LASER1
(2018-06-22T14:06:19):	OUTM,3QF 803 209/210,LASER1
(2018-06-22T14:06:19):	INPM,3QF 803 144,LASER1
(2018-06-22T14:10:46):	OUTM,3QF 803 144,LASER1
(2018-06-22T14:17:24):	INPM,3QF 801 253,LASER2
(2018-06-22T14:17:41):	OUTM,3QF 801 253,LASER2
(2018-06-22T14:27:19):	INPM,3QF 803 506,LASER2
(2018-06-22T14:28:17):	OUTM,3QF 803 506,LASER2
(2018-06-24T14:04:39):	INPM,3QF 803 209/210,LASER1A
(2018-06-24T15:32:24):	OUTM,3QF 803 209/210,LASER1A        
(2018-06-24T15:32:24):	INPM,3QF 803 299,LASER1A        
(2018-06-24T15:32:31):	INPM,3QF 803 505,LASER1B        
(2018-06-24T15:32:34):	OUTM,3QF 803 299,LASER1A        
(2018-06-24T15:32:34):	INPM,3QF 803 143,LASER1A        
(2018-06-24T15:32:37):	OUTM,3QF 803 505,LASER1B        
(2018-06-24T15:32:37):	INPM,3QF 803 144,LASER1B        
(2018-06-24T15:32:43):	OUTM,3QF 803 143,LASER1A        
(2018-06-24T15:32:47):	OUTM,3QF 803 144,LASER1B        
(2018-06-24T15:40:57):	INPM,3QF 803 143,LASER2
(2018-06-24T15:41:01):	INPM,3QF 803 144,LASER3
(2018-06-24T15:41:06):	OUTM,3QF 803 143,LASER2
(2018-06-24T15:41:08):	OUTM,3QF 803 144,LASER3
(2018-06-24T15:42:14):	INPM,3QF 801 253,LASER3
(2018-06-24T15:42:17):	INPM,3QF 801 254,LASER3
(2018-06-24T15:42:19):	OUTM,3QF 801 253,LASER3
(2018-06-24T15:42:22):	OUTM,3QF 801 254,LASER3
(2018-06-25T08:41:15):	INPM,3QF 803 209/210,LASER1,1 A       
(2018-06-25T08:41:18):	OUTM,3QF 803 209/210,LASER1
(2018-06-25T08:41:20):	INPM,3QF 803 144,LASER1,1 A       
(2018-06-25T08:41:27):	INPM,3QF 803 143,LASER1,1 B       
(2018-06-25T08:41:29):	OUTM,3QF 803 143,LASER1
(2018-06-25T08:50:11):	INPM,3QF 813 147,LASER2,Headstock1
(2018-06-25T08:50:14):	INPM,63221/63621,LASER2,Headstock2
