(2018-03-04T17:01:06):	INPW,55978,CELL04L
(2018-03-04T17:01:19):	INPW,55978,CELL04R
(2018-04-18T17:48:10):	INPW,57148,CELL01L
(2018-04-18T17:53:01):	OUTW,57148,CELL01L
(2018-04-18T17:54:16):	OUTW,57148,CELL01L
(2018-04-18T22:55:26):	INPW,57148,CELL01L
(2018-04-18T22:56:06):	INPW,57148,CELL01R
(2018-04-18T22:56:42):	OUTW,1,CELL01L
(2018-04-18T22:56:42):	INPW,57149,CELL01L
(2018-04-18T22:59:55):	INPW,57150,CELL02L,CELL02R        
(2018-04-18T23:01:00):	OUTW,57149,CELL01L
(2018-04-18T23:01:38):	OUTW,57148,CELL01R
(2018-04-18T23:28:53):	INPW,57148,CELL01L
(2018-04-18T23:29:18):	OUTW,57148,CELL01L
(2018-04-18T23:29:35):	INPW,57148,CELL02L,CELL02R        
(2018-04-18T23:29:52):	OUTW,57148,CELL02L,CELL02R        
(2018-04-18T23:30:05):	INPW,57148,CELL01L
(2018-04-18T23:30:08):	INPW,57148,CELL01R
(2018-04-18T23:30:23):	OUTW,57148,CELL01L
(2018-04-18T23:30:24):	INPW,57148,CELL01L
(2018-04-18T23:47:46):	INPW,57148,CELL01L
(2018-04-18T23:47:49):	INPW,57148,CELL01R
(2018-04-18T23:47:52):	OUTW,57148,CELL01R
(2018-04-18T23:58:41):	INPW,57148,CELL01L
(2018-04-18T23:59:01):	INPW,57148,CELL01R
(2018-04-18T23:59:18):	OUTW,57148,CELL01L
(2018-04-18T23:59:42):	INPW,57148,CELL02L,CELL02R        
(2018-04-19T00:00:01):	OUTW,57148,CELL02R,CELL02L        
(2018-04-19T00:00:33):	OUTW,57148,CELL01R
(2018-04-19T00:02:55):	INPW,57149,CELL02L,CELL02R        
(2018-04-19T00:03:13):	OUTW,57149,CELL02R,CELL02L        
(2018-04-19T00:03:14):	INPW,57148,CELL02R,CELL02L        
(2018-04-19T00:03:35):	OUTW,57148,CELL02L,CELL02R        
